Latitude (decimal degrees):	42.218
Longitude (decimal degrees):	-8.762
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20210601:0010,0.0,0.0,0.0,15.21,2.55,0.0
20210601:0110,0.0,0.0,0.0,14.71,2.76,0.0
20210601:0210,0.0,0.0,0.0,14.26,3.03,0.0
20210601:0310,0.0,0.0,0.0,14.02,3.17,0.0
20210601:0410,0.0,0.0,0.0,13.91,3.17,0.0
20210601:0510,0.0,0.0,0.0,13.89,3.31,0.0
20210601:0610,37.97,60.76,10.68,13.97,3.86,0.0
20210601:0710,119.75,163.98,21.37,14.02,4.28,0.0
20210601:0810,253.89,317.3,32.4,14.8,5.03,0.0
20210601:0910,263.46,325.42,43.47,15.57,5.31,0.0
20210601:1010,181.28,230.76,54.13,16.31,5.38,0.0
20210601:1110,278.62,345.49,63.48,16.9,5.59,0.0
20210601:1210,118.32,157.84,69.3,17.11,5.59,0.0
20210601:1310,275.24,342.22,68.36,17.17,5.38,0.0
20210601:1410,241.2,301.81,61.33,16.97,5.17,0.0
20210601:1510,508.22,619.31,51.51,16.67,5.03,0.0
20210601:1610,279.74,346.26,40.69,16.19,4.34,0.0
20210601:1710,259.97,332.02,29.59,15.96,3.72,0.0
20210601:1810,100.55,145.51,18.62,15.53,3.17,0.0
20210601:1910,12.21,26.91,8.06,14.7,2.9,0.0
20210601:2010,0.0,0.0,0.0,14.05,2.48,0.0
20210601:2110,0.0,0.0,0.0,13.65,2.07,0.0
20210601:2210,0.0,0.0,0.0,13.37,2.07,0.0
20210601:2310,0.0,0.0,0.0,13.12,2.21,0.0
20210602:0010,0.0,0.0,0.0,13.08,2.28,0.0
20210602:0110,0.0,0.0,0.0,12.94,2.21,0.0
20210602:0210,0.0,0.0,0.0,12.88,2.14,0.0
20210602:0310,0.0,0.0,0.0,12.79,2.21,0.0
20210602:0410,0.0,0.0,0.0,12.79,2.28,0.0
20210602:0510,0.0,0.0,0.0,12.62,2.34,0.0
