Nombre del documento,Categoría,Creada por,Fecha de última actualización,Hora de creación,Última edición por
Plan de Tareas (Kanban),Planificación,Roberto Rodríguez Núñez,26 de noviembre de 2025 14:08,11 de octubre de 2025 18:46,Roberto Rodríguez Núñez
"📄Enunciado de Alcance TFG ",Planificación,Roberto Rodríguez Núñez,28 de enero de 2026 20:16,2 de noviembre de 2025 19:21,Roberto Rodríguez Núñez
"📄Acta de Constitución TFG ",Planificación,Roberto Rodríguez Núñez,28 de enero de 2026 20:16,3 de noviembre de 2025 10:38,Roberto Rodríguez Núñez
Enlaces TFG,,Roberto Rodríguez Núñez,17 de noviembre de 2025 14:06,3 de noviembre de 2025 15:07,Roberto Rodríguez Núñez
Notas IA,,Roberto Rodríguez Núñez,8 de noviembre de 2025 0:32,8 de noviembre de 2025 0:29,Roberto Rodríguez Núñez
Glosario/Artículo,,Roberto Rodríguez Núñez,18 de noviembre de 2025 10:51,14 de noviembre de 2025 16:29,Roberto Rodríguez Núñez
📄DQN funcionamiento,Documentación técnica,Roberto Rodríguez Núñez,28 de enero de 2026 20:20,18 de noviembre de 2025 14:32,Roberto Rodríguez Núñez
Guía Elaboración TFG,Estructura,Roberto Rodríguez Núñez,25 de noviembre de 2025 16:39,25 de noviembre de 2025 16:38,Roberto Rodríguez Núñez
📄 Doc: Justificación de la Estructura y Datos,Documentación técnica,Roberto Rodríguez Núñez,7 de diciembre de 2025 18:24,7 de diciembre de 2025 16:27,Roberto Rodríguez Núñez
📄 Doc: Ingeniería de Datos y Generación del Entorno,Documentación técnica,Roberto Rodríguez Núñez,28 de enero de 2026 20:15,7 de diciembre de 2025 18:23,Roberto Rodríguez Núñez
📄 Doc: Motor de Simulación y Entorno RL,Documentación técnica,Roberto Rodríguez Núñez,8 de diciembre de 2025 0:53,8 de diciembre de 2025 0:53,Roberto Rodríguez Núñez
