familia,version,algo,controller,media_eur_sem,std_seeds,ic95_low,ic95_high,n_eval_seeds,vs_mpc_realista,wilcoxon_p,mejor_seed,train_scores,hiperparametros,timestamp
G,G1-MPC-oraculo,mpc,MPC oraculo,51.448,29.154,44.066,60.289,10,8.063,n/a,,{},{},2026-06-28T16:13:21
G,G2-MPC-realista,mpc,MPC realista,43.385,0.198,41.242,45.573,10,0.0,1.00e+00,,{},{},2026-06-28T16:13:21
G,G3-heuristico,heuristico,Heuristico,30.488,0.221,28.137,32.905,10,-12.897,4.57e-75,,{},{},2026-06-28T16:13:21
G,G4-idle,idle,IDLE,0.0,0.0,0.0,0.0,10,-43.385,n/a,,{},{},2026-06-28T16:13:21
dqn,DQN-1,dqn,DQN,39.362,0.373,37.209,41.623,10,-4.022,4.97e-67,42,"{""42"": 37.372275540000004, ""1337"": 37.24216846, ""2024"": 36.61219764}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0001, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.995, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 1500, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 1, ""eval_freq"": 20000}",2026-06-29T02:10:54
dqn,DQN-2,dqn,DQN,37.239,0.239,35.015,39.567,10,-6.146,5.03e-72,42,"{""42"": 35.898704079999995, ""1337"": 34.943641959999994, ""2024"": 35.4843997}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0001, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.995, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 1500, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 8, ""eval_freq"": 20000}",2026-06-29T07:59:08
dqn,DQN-3,dqn,DQN,38.336,0.287,36.168,40.617,10,-5.048,1.02e-71,1337,"{""42"": 36.62122938, ""1337"": 36.766871019999996, ""2024"": 35.90251308}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0001, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.99, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 1500, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 8, ""eval_freq"": 20000}",2026-06-29T16:34:50
dqn,DQN-4,dqn,DQN,31.648,0.276,29.975,33.383,10,-11.737,1.26e-83,1337,"{""42"": 30.28217452, ""1337"": 32.17281765999999, ""2024"": 31.98512216}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0001, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.995, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 1500, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 24, ""eval_freq"": 20000}",2026-06-30T17:16:18
dqn,DQN-5,dqn,DQN,37.155,0.305,35.059,39.326,10,-6.23,5.51e-78,1337,"{""42"": 34.4423644, ""1337"": 34.957149019999996, ""2024"": 34.47587616}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0005, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.995, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 2000, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 8, ""eval_freq"": 20000}",2026-07-01T01:39:09
dqn,DQN-6,dqn,DQN,39.273,0.288,36.988,41.639,10,-4.112,2.39e-66,42,"{""42"": 38.11005324, ""1337"": 36.91948576, ""2024"": 37.02127786}","{""total_timesteps"": 3000000, ""learning_rate"": 0.0001, ""buffer_size"": 500000, ""learning_starts"": 10000, ""batch_size"": 64, ""gamma"": 0.995, ""exploration_fraction"": 0.5, ""exploration_final_eps"": 0.05, ""target_update_interval"": 1500, ""train_freq"": 4, ""net_arch"": [256, 128], ""n_step"": 4, ""eval_freq"": 20000}",2026-07-01T09:36:11
ppo_continuo,PPO-C1,ppo_continuo,ContinuoPPO,38.143,0.053,35.842,40.557,10,-5.241,4.24e-41,2024,"{""42"": 33.562376959999995, ""1337"": 33.36625386, ""2024"": 35.36868288}","{""total_timesteps"": 4000000, ""n_steps"": 8192, ""batch_size"": 128, ""n_epochs"": 5, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_range"": 0.2, ""vf_coef"": 0.5, ""net_arch_pi"": [256, 256], ""net_arch_vf"": [256, 256], ""learning_rate"": {""init"": 0.0003, ""final"": 3e-05}, ""ent_coef"": {""init"": 0.005, ""final"": 0.0005}, ""log_std_init"": -0.7, ""eval_freq"": 20000, ""action_std_init"": 0.5}",2026-06-29T18:52:01
ppo_continuo,PPO-C2,ppo_continuo,ContinuoPPO,33.656,0.058,31.53,35.878,10,-9.728,1.50e-80,2024,"{""42"": 29.68750514, ""1337"": 30.1592134, ""2024"": 30.413392780000002}","{""total_timesteps"": 4000000, ""n_steps"": 8192, ""batch_size"": 128, ""n_epochs"": 5, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_range"": 0.2, ""vf_coef"": 0.5, ""net_arch_pi"": [256, 256], ""net_arch_vf"": [256, 256], ""learning_rate"": {""init"": 0.0003, ""final"": 3e-05}, ""ent_coef"": {""init"": 0.005, ""final"": 0.0005}, ""log_std_init"": -0.7, ""eval_freq"": 20000, ""action_std_init"": 0.3}",2026-06-30T07:15:15
ppo_continuo,PPO-C3,ppo_continuo,ContinuoPPO,38.311,0.084,36.08,40.66,10,-5.073,6.50e-45,2024,"{""42"": 34.442192459999994, ""1337"": 35.29627978, ""2024"": 35.48811742}","{""total_timesteps"": 4000000, ""n_steps"": 4096, ""batch_size"": 128, ""n_epochs"": 5, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_range"": 0.2, ""vf_coef"": 0.5, ""net_arch_pi"": [256, 256], ""net_arch_vf"": [256, 256], ""learning_rate"": 0.0003, ""ent_coef"": 0.003, ""log_std_init"": -0.7, ""eval_freq"": 20000, ""action_std_init"": 0.5}",2026-06-30T19:40:30
residual_sac,SAC-A,residual_sac,"ResidualSAC(add,dmax=0.05)",42.471,0.183,40.277,44.73,10,-0.913,1.80e-28,42,"{""42"": 39.00907008, ""1337"": 37.73064182, ""2024"": 38.59299565999999}","{""total_timesteps"": 1000000, ""residual_mode"": ""add"", ""delta_max"": 0.05, ""dawn_warmup_steps"": 50000, ""learning_rate"": 0.0001, ""buffer_size"": 100000, ""batch_size"": 256, ""gamma"": 0.99, ""tau"": 0.005, ""ent_coef"": 0.005, ""target_entropy"": ""auto"", ""net_arch"": [256, 256], ""eval_freq"": 20000}",2026-06-29T20:21:31
residual_sac,SAC-B,residual_sac,"ResidualSAC(mult,dmax=0.3)",42.311,0.133,40.2,44.483,10,-1.074,7.37e-40,2024,"{""42"": 38.64634576, ""1337"": 38.7360574, ""2024"": 39.38269256}","{""total_timesteps"": 1000000, ""residual_mode"": ""mult"", ""delta_max"": 0.3, ""dawn_warmup_steps"": 100000, ""learning_rate"": 0.0001, ""buffer_size"": 100000, ""batch_size"": 256, ""gamma"": 0.99, ""tau"": 0.005, ""ent_coef"": 0.002, ""target_entropy"": ""auto"", ""net_arch"": [256, 256], ""eval_freq"": 20000}",2026-06-30T13:11:59
residual_sac,SAC-C,residual_sac,"ResidualSAC(mult,dmax=0.15)",44.048,0.145,41.898,46.249,10,0.664,1.45e-23,1337,"{""42"": 41.0836758, ""1337"": 41.136373600000006, ""2024"": 41.10819704000001}","{""total_timesteps"": 1000000, ""residual_mode"": ""mult"", ""delta_max"": 0.15, ""dawn_warmup_steps"": 100000, ""learning_rate"": 0.0001, ""buffer_size"": 100000, ""batch_size"": 256, ""gamma"": 0.99, ""tau"": 0.005, ""ent_coef"": 0.01, ""target_entropy"": ""auto"", ""net_arch"": [256, 256], ""eval_freq"": 20000}",2026-07-01T06:12:51
